106,MH529995/2018-19/115615217,7.74000 MAl,0.68000 N,0.56000 M,249.00000 L,15.50000 M,516.00000 H,9.70000 D,0.38000 D,3.80000 D,2.80000 S,10.40000 S,0.22000 D
107,MH529995/2018-19/115615449,7.46000 MAl,0.73000 N,0.47000 L,210.00000 L,6.00000 L,632.00000 H,8.10000 D,0.56000 D,5.20000 S,3.00000 S,8.20000 S,0.32000 D
108,MH529995/2018-19/115615611,7.70000 MAl,0.30000 N,0.20000 VL,92.00000 VL,3.80000 VL,398.00000 H,11.10000 S,0.28000 D,5.60000 S,2.40000 S,11.30000 S,1.74000 S
109,MH529995/2018-19/115620808,7.30000 MAl,0.42000 N,0.26000 L,118.00000 VL,5.20000 L,556.00000 H,13.00000 S,0.54000 D,4.90000 S,2.80000 S,13.00000 S,0.26000 D
110,MH529995/2018-19/115621026,7.70000 MAl,0.23000 N,0.18000 VL,79.00000 VL,4.90000 VL,363.00000 H,9.30000 D,0.22000 D,4.70000 S,1.90000 S,10.40000 S,0.40000 D
111,MH529995/2018-19/115621172,7.47000 MAl,0.27000 N,0.47000 L,210.00000 L,10.60000 M,413.00000 H,8.90000 D,0.36000 D,5.60000 S,1.70000 S,9.00000 S,1.88000 S
112,MH529995/2018-19/115621946,7.70000 MAl,0.75000 N,0.41000 L,184.00000 L,11.40000 M,330.00000 M,14.80000 S,0.24000 D,5.90000 S,2.60000 S,6.20000 S,1.46000 S
113,MH529995/2018-19/115622200,7.41000 MAl,0.23000 N,0.50000 L,223.00000 L,106.00000 VH,389.00000 H,13.10000 S,0.48000 D,3.60000 D,2.30000 S,11.50000 S,1.54000 S
114,MH529995/2018-19/115622591,7.90000 MAl,0.80000 N,0.47000 L,210.00000 L,20.40000 M,521.00000 H,10.90000 S,0.52000 D,3.10000 D,3.60000 S,13.50000 S,0.20000 D
115,MH529995/2018-19/115623388,7.60000 MAl,0.34000 N,0.50000 L,223.00000 L,7.90000 L,598.00000 H,10.60000 S,0.26000 D,4.40000 D,2.60000 S,6.90000 S,1.62000 S
116,MH529995/2018-19/115624160,7.90000 MAl,0.80000 N,0.41000 L,184.00000 L,4.40000 VL,246.00000 M,12.20000 S,0.40000 D,4.60000 S,2.40000 S,4.40000 S,0.34000 D
117,MH529995/2018-19/115624562,7.22000 MAl,0.45000 N,0.47000 L,210.00000 L,9.00000 L,307.00000 M,14.00000 S,0.46000 D,5.30000 S,1.80000 S,4.90000 S,0.44000 D
118,MH529995/2018-19/115625246,8.06000 MAl,0.59000 N,0.23000 VL,105.00000 VL,4.10000 VL,383.00000 H,12.40000 S,0.36000 D,4.80000 S,1.60000 S,7.30000 S,1.68000 S
119,MH529995/2018-19/115626629,7.68000 MAl,0.60000 N,0.18000 VL,79.00000 VL,5.20000 L,346.00000 H,11.00000 S,0.52000 D,5.00000 S,3.20000 S,3.90000 S,0.46000 D
120,MH529995/2018-19/115627370,8.02000 MAl,0.78000 N,0.38000 L,170.00000 L,9.20000 L,337.00000 M,14.20000 S,0.60000 D,5.90000 S,2.40000 S,3.90000 S,0.42000 D
121,MH529995/2018-19/115628089,7.43000 MAl,0.64000 N,0.29000 L,131.00000 VL,7.90000 L,430.00000 H,14.00000 S,0.58000 D,4.60000 S,2.30000 S,6.90000 S,0.28000 D
